local_item_id,market_hash_name,chinese_name,tier,enabled
1,AWP | Pit Viper (Minimal Wear),AWP | 响尾蛇 (略有磨损),2,1
2,FAMAS | Colony (Well-Worn),法玛斯 | 殖民侵略者 (破损不堪),2,1
3,Five-SeveN | Monkey Business (Field-Tested),FN57 | 耍猴把戏 (久经沙场),2,1
4,Nova | Rising Skull (Minimal Wear),新星 | 惊惧骷髅 (略有磨损),2,1
5,StatTrak™ Desert Eagle | Naga (Well-Worn),沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),2,1
6,AWP | Pit Viper (Field-Tested),AWP | 响尾蛇 (久经沙场),2,1
7,MP7 | Armor Core (Field-Tested),MP7 | 装甲核心 (久经沙场),2,1
8,AUG | Chameleon (Field-Tested),AUG | 变色龙 (久经沙场),2,1
9,AUG | Torque (Factory New),AUG | 力矩 (崭新出厂),2,1
10,AUG | Wings (Factory New),AUG | 鹰翼 (崭新出厂),2,1
11,P250 | Franklin (Minimal Wear),P250 | 富兰克林 (略有磨损),2,1
12,M4A4 | Desert-Strike (Field-Tested),M4A4 | 沙漠精英 (久经沙场),2,1
13,AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | 翡翠细条纹 (久经沙场),2,1
14,M4A4 | Evil Daimyo (Field-Tested),M4A4 | 杀意大名 (久经沙场),2,1
15,SSG 08 | Acid Fade (Factory New),SSG 08 | 渐变强酸 (崭新出厂),2,1
16,PP-Bizon | Osiris (Factory New),PP-野牛 | 死亡主宰者 (崭新出厂),2,1
17,AWP | Worm God (Minimal Wear),AWP | 蠕虫之神 (略有磨损),2,1
18,P90 | Desert Warfare (Well-Worn),P90 | 沙漠战争 (破损不堪),2,1
19,USP-S | Guardian (Field-Tested),USP消音版 | 守护者 (久经沙场),2,1
20,StatTrak™ Five-SeveN | Nightshade (Field-Tested),FN57（StatTrak™） | 夜影 (久经沙场),2,1
21,AWP | Worm God (Field-Tested),AWP | 蠕虫之神 (久经沙场),2,1
22,USP-S | Guardian (Factory New),USP消音版 | 守护者 (崭新出厂),2,1
23,StatTrak™ Glock-18 | Catacombs (Field-Tested),格洛克18型（StatTrak™） | 亡者之寝 (久经沙场),2,1
24,Operation Phoenix Weapon Case,“凤凰大行动”武器箱,2,1
25,P250 | Cartel (Field-Tested),P250 | 卡特尔 (久经沙场),2,1
26,StatTrak™ Tec-9 | Isaac (Well-Worn),Tec-9（StatTrak™） | 艾萨克 (破损不堪),2,1
27,StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),格洛克18型（StatTrak™） | 本生灯 (久经沙场),2,1
28,StatTrak™ SSG 08 | Dark Water (Field-Tested),SSG 08（StatTrak™） | 黑水 (久经沙场),2,1
29,CZ75-Auto | Tigris (Factory New),CZ75自动型 | 猛虎 (崭新出厂),2,1
30,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,2,1
31,StatTrak™ Negev | Terrain (Minimal Wear),内格夫（StatTrak™） | 青绿地形 (略有磨损),2,1
32,M4A4 | Griffin (Minimal Wear),M4A4 | 狮鹫 (略有磨损),2,1
