local_item_id,platform,platform_item_id
8655,YOUPIN,60131
8655,C5,553370888
8655,BUFF,42838
8655,HALOSKINS,553370888
3562,YOUPIN,52262
3562,C5,25902
3562,BUFF,39592
3562,HALOSKINS,25902
390,YOUPIN,1785
390,C5,22702
390,BUFF,42998
390,HALOSKINS,22702
9061,YOUPIN,50826
9061,C5,553430835
9061,BUFF,43435
9061,HALOSKINS,553430835
4352,YOUPIN,48764
4352,C5,26704
4352,BUFF,42580
4352,HALOSKINS,26704
9291,YOUPIN,52320
9291,C5,553435595
9291,BUFF,35098
9291,HALOSKINS,553435595
19733,YOUPIN,61764
19733,C5,915097866814812160
19733,BUFF,872120
19733,HALOSKINS,915097866814812160
2222,YOUPIN,45919
2222,C5,24549
2222,BUFF,35319
2222,HALOSKINS,24549
2298,YOUPIN,54973
2298,C5,24627
2298,BUFF,34603
2298,HALOSKINS,24627
18084,YOUPIN,52640
18084,C5,809902743984164864
18084,BUFF,835769
18084,HALOSKINS,809902743984164864
19885,YOUPIN,62024
19885,C5,918052566653259776
19885,BUFF,872059
19885,HALOSKINS,918052566653259776
4304,YOUPIN,44829
4304,C5,26656
4304,BUFF,42961
4304,HALOSKINS,26656
3902,YOUPIN,46429
3902,C5,26250
3902,BUFF,43017
3902,HALOSKINS,26250
8125,YOUPIN,50528
8125,C5,489899185
8125,BUFF,42876
8125,HALOSKINS,489899185
2729,YOUPIN,45603
2729,C5,25066
2729,BUFF,35063
2729,HALOSKINS,25066
3121,YOUPIN,45678
3121,C5,25460
3121,BUFF,35266
3121,HALOSKINS,25460
3133,YOUPIN,1086
3133,C5,25472
3133,BUFF,43805
3133,HALOSKINS,25472
17976,YOUPIN,54427
17976,C5,809235248037101568
17976,BUFF,835686
17976,HALOSKINS,809235248037101568
4347,YOUPIN,51536
4347,C5,26699
4347,BUFF,42991
4347,HALOSKINS,26699
5704,YOUPIN,55851
5704,C5,1747414
5704,BUFF,34379
5704,HALOSKINS,1747414
17798,YOUPIN,45724
17798,C5,808864599704862720
17798,BUFF,835422
17798,HALOSKINS,808864599704862720
6009,YOUPIN,53556
6009,C5,3792616
6009,BUFF,43403
6009,HALOSKINS,3792616
18187,YOUPIN,53559
18187,C5,810988128977289216
18187,BUFF,836080
18187,HALOSKINS,810988128977289216
2443,YOUPIN,43803
2443,C5,24773
2443,BUFF,33812
2443,HALOSKINS,24773
9086,YOUPIN,49890
9086,C5,553433489
9086,BUFF,38313
9086,HALOSKINS,553433489
2682,YOUPIN,48299
2682,C5,25017
2682,BUFF,40901
2682,HALOSKINS,25017
3726,YOUPIN,51383
3726,C5,26070
3726,BUFF,43803
3726,HALOSKINS,26070
17765,YOUPIN,49281
17765,C5,808847122115592192
17765,BUFF,835943
17765,HALOSKINS,808847122115592192
3950,YOUPIN,52321
3950,C5,26299
3950,BUFF,43766
3950,HALOSKINS,26299
5306,YOUPIN,53274
5306,C5,27663
5306,BUFF,34390
5306,HALOSKINS,27663
12965,YOUPIN,1904
12965,C5,553482973
12965,BUFF,769501
12965,HALOSKINS,553482973
1200,YOUPIN,754
1200,C5,23513
1200,BUFF,43091
1200,HALOSKINS,23513
19704,YOUPIN,61660
19704,C5,914969279634071552
19704,BUFF,871602
19704,HALOSKINS,914969279634071552
8507,YOUPIN,49282
8507,C5,553370438
8507,BUFF,43148
8507,HALOSKINS,553370438
2161,YOUPIN,47818
2161,C5,24487
2161,BUFF,43035
2161,HALOSKINS,24487
8024,YOUPIN,3108
8024,C5,337162842
8024,BUFF,42611
8024,HALOSKINS,337162842
18112,YOUPIN,51527
18112,C5,809976129099812866
18112,BUFF,836044
18112,HALOSKINS,809976129099812866
8126,YOUPIN,51456
8126,C5,489972055
8126,BUFF,42889
8126,HALOSKINS,489972055
8968,YOUPIN,44228
8968,C5,553427239
8968,BUFF,34108
8968,HALOSKINS,553427239
3877,YOUPIN,46878
3877,C5,26222
3877,BUFF,42987
3877,HALOSKINS,26222
17933,YOUPIN,51970
17933,C5,809015634525159424
17933,BUFF,835970
17933,HALOSKINS,809015634525159424
7251,YOUPIN,7483
7251,C5,189343005
7251,BUFF,42964
7251,HALOSKINS,189343005
19893,YOUPIN,100382
19893,C5,918435008607358976
19893,BUFF,871977
19893,HALOSKINS,918435008607358976
1394,YOUPIN,45178
1394,C5,23711
1394,BUFF,43041
1394,HALOSKINS,23711
4683,YOUPIN,49081
4683,C5,27037
4683,BUFF,43084
4683,HALOSKINS,27037
15012,YOUPIN,44457
15012,C5,553487509
15012,BUFF,775261
15012,HALOSKINS,553487509
19744,YOUPIN,62035
19744,C5,915167611585331200
19744,BUFF,871856
19744,HALOSKINS,915167611585331200
12942,YOUPIN,52322
12942,C5,553482887
12942,BUFF,769825
12942,HALOSKINS,553482887
