platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
23293,AK-47 | Aquamarine Revenge (Battle-Scarred),2026-04-06 20:44:22.539544,272.85,132,246.0,17
24721,AK-47 | Aquamarine Revenge (Factory New),2026-04-06 20:59:32.605741,1884.0,125,2050.0,26
22516,AK-47 | Aquamarine Revenge (Field-Tested),2026-04-06 20:36:47.340927,301.77,239,345.0,33
24347,AK-47 | Aquamarine Revenge (Minimal Wear),2026-04-06 20:56:17.623564,520.0,344,587.0,14
24342,AK-47 | Aquamarine Revenge (Well-Worn),2026-04-06 20:56:17.623564,274.53,84,263.0,6
553480568,AK-47 | Asiimov (Battle-Scarred),2026-04-06 17:38:42.032204,299.55,135,269.0,23
553480796,AK-47 | Asiimov (Factory New),2026-04-06 17:39:42.080123,4268.0,60,4060.0,5
553480506,AK-47 | Asiimov (Minimal Wear),2026-04-06 17:38:42.032204,396.14,952,782.0,174
553480815,AK-47 | Asiimov (Well-Worn),2026-04-06 17:39:42.080123,330.0,29,296.0,5
553487333,AK-47 | Baroque Purple (Battle-Scarred),2026-04-06 18:06:42.299296,41.82,42,36.5,10
553487074,AK-47 | Baroque Purple (Field-Tested),2026-04-06 18:03:42.244553,45.24,121,43.6,10
553487026,AK-47 | Baroque Purple (Minimal Wear),2026-04-06 18:03:42.244553,113.7,180,110.0,23
553486785,AK-47 | Baroque Purple (Well-Worn),2026-04-06 18:00:42.152399,43.46,46,36.1,16
22503,AK-47 | Black Laminate (Battle-Scarred),2026-04-06 20:35:42.337316,292.52,16,,
22496,AK-47 | Black Laminate (Field-Tested),2026-04-06 20:35:42.337316,275.0,53,248.0,3
22579,AK-47 | Black Laminate (Minimal Wear),2026-04-06 20:36:47.340927,780.0,47,734.0,5
25440,AK-47 | Black Laminate (Well-Worn),2026-04-06 23:06:09.414411,313.5,8,,
553370749,AK-47 | Bloodsport (Factory New),2026-04-06 17:04:42.865716,1460.0,457,1560.0,12
553370741,AK-47 | Bloodsport (Field-Tested),2026-04-06 17:04:42.865716,995.0,160,990.0,18
553419772,AK-47 | Bloodsport (Well-Worn),2026-04-06 17:06:41.657963,989.9,41,941.0,1
23778,AK-47 | Blue Laminate (Factory New),2026-04-06 20:49:47.578142,459.9,152,452.0,59
22599,AK-47 | Blue Laminate (Field-Tested),2026-04-06 20:36:47.340927,118.42,265,109.0,9
22358,AK-47 | Blue Laminate (Minimal Wear),2026-04-06 20:34:37.401554,128.8,296,127.0,11
25272,AK-47 | Blue Laminate (Well-Worn),2026-04-06 23:03:59.118314,196.0,4,11.0,1
25191,AK-47 | Cartel (Battle-Scarred),2026-04-06 23:02:54.090874,131.49,63,107.0,20
24348,AK-47 | Cartel (Factory New),2026-04-06 20:56:17.623564,724.0,245,708.0,23
23246,AK-47 | Cartel (Field-Tested),2026-04-06 20:44:22.539544,127.04,319,117.0,14
22962,AK-47 | Cartel (Minimal Wear),2026-04-06 20:41:07.463657,161.02,234,163.0,17
25168,AK-47 | Cartel (Well-Worn),2026-04-06 23:02:54.090874,178.16,4,126.0,9
22974,AK-47 | Case Hardened (Battle-Scarred),2026-04-06 20:41:07.463657,1294.19,42,1190.0,3
25009,AK-47 | Case Hardened (Factory New),2026-04-06 23:01:47.928840,6587.59,90,6300.0,2
24360,AK-47 | Case Hardened (Field-Tested),2026-04-06 20:56:17.623564,1514.99,230,8300.0,8
22538,AK-47 | Case Hardened (Minimal Wear),2026-04-06 20:36:47.340927,1878.47,241,3000.0,10
22933,AK-47 | Case Hardened (Well-Worn),2026-04-06 20:41:07.463657,1344.96,102,1200.0,3
23081,AK-47 | Elite Build (Battle-Scarred),2026-04-06 20:42:12.375446,11.28,251,9.9,117
23830,AK-47 | Elite Build (Factory New),2026-04-06 20:50:52.499073,98.75,331,95.0,46
22994,AK-47 | Elite Build (Field-Tested),2026-04-06 20:41:07.463657,16.18,503,15.8,83
22610,AK-47 | Elite Build (Minimal Wear),2026-04-06 20:36:47.340927,24.49,569,23.6,81
23115,AK-47 | Elite Build (Well-Worn),2026-04-06 20:43:17.467436,11.89,311,10.2,126
22381,AK-47 | Emerald Pinstripe (Battle-Scarred),2026-04-06 20:34:37.401554,20.27,108,18.3,22
23980,AK-47 | Emerald Pinstripe (Factory New),2026-04-06 20:51:57.523508,206.26,118,188.0,94
22325,AK-47 | Emerald Pinstripe (Field-Tested),2026-04-06 20:34:37.401554,20.9,249,20.0,62
24260,AK-47 | Emerald Pinstripe (Minimal Wear),2026-04-06 20:55:12.610454,33.95,164,32.9,17
22611,AK-47 | Emerald Pinstripe (Well-Worn),2026-04-06 20:36:47.340927,19.7,82,17.9,73
25770,AK-47 | Fire Serpent (Battle-Scarred),2026-04-06 23:09:24.152153,3930.5,4,3660.0,5
