platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
23293,AK-47 | Aquamarine Revenge (Battle-Scarred),2026-04-06 20:44:22.539544,281.07,18,,
24721,AK-47 | Aquamarine Revenge (Factory New),2026-04-06 20:59:32.605741,1940.64,112,,
22516,AK-47 | Aquamarine Revenge (Field-Tested),2026-04-06 20:36:47.340927,310.91,186,,
24347,AK-47 | Aquamarine Revenge (Minimal Wear),2026-04-06 20:56:17.623564,534.5,336,,
24342,AK-47 | Aquamarine Revenge (Well-Worn),2026-04-06 20:56:17.623564,282.79,14,,
553480568,AK-47 | Asiimov (Battle-Scarred),2026-04-06 17:38:42.032204,311.6,13,,
553480796,AK-47 | Asiimov (Factory New),2026-04-06 17:39:42.080123,4396.33,51,,
553480506,AK-47 | Asiimov (Minimal Wear),2026-04-06 17:38:42.032204,408.09,921,,
553480815,AK-47 | Asiimov (Well-Worn),2026-04-06 17:39:42.080123,337.72,7,,
553487333,AK-47 | Baroque Purple (Battle-Scarred),2026-04-06 18:06:42.299296,48.11,8,,
553487074,AK-47 | Baroque Purple (Field-Tested),2026-04-06 18:03:42.244553,46.67,82,,
553487026,AK-47 | Baroque Purple (Minimal Wear),2026-04-06 18:03:42.244553,117.17,143,,
553486785,AK-47 | Baroque Purple (Well-Worn),2026-04-06 18:00:42.152399,48.39,6,,
22503,AK-47 | Black Laminate (Battle-Scarred),2026-04-06 20:35:42.337316,399.68,3,,
22496,AK-47 | Black Laminate (Field-Tested),2026-04-06 20:35:42.337316,283.21,27,,
22579,AK-47 | Black Laminate (Minimal Wear),2026-04-06 20:36:47.340927,803.5,33,,
25440,AK-47 | Black Laminate (Well-Worn),2026-04-06 23:06:09.414411,322.97,1,,
553370749,AK-47 | Bloodsport (Factory New),2026-04-06 17:04:42.865716,1502.5,422,,
553370741,AK-47 | Bloodsport (Field-Tested),2026-04-06 17:04:42.865716,1024.94,131,,
553419772,AK-47 | Bloodsport (Well-Worn),2026-04-06 17:06:41.657963,1019.71,7,,
23778,AK-47 | Blue Laminate (Factory New),2026-04-06 20:49:47.578142,473.64,135,,
22599,AK-47 | Blue Laminate (Field-Tested),2026-04-06 20:36:47.340927,122.0,119,,
22358,AK-47 | Blue Laminate (Minimal Wear),2026-04-06 20:34:37.401554,132.68,218,,
25272,AK-47 | Blue Laminate (Well-Worn),2026-04-06 23:03:59.118314,233.93,2,,
25191,AK-47 | Cartel (Battle-Scarred),2026-04-06 23:02:54.090874,135.51,20,,
24348,AK-47 | Cartel (Factory New),2026-04-06 20:56:17.623564,745.81,202,,
23246,AK-47 | Cartel (Field-Tested),2026-04-06 20:44:22.539544,130.89,197,,
22962,AK-47 | Cartel (Minimal Wear),2026-04-06 20:41:07.463657,165.9,207,,
25168,AK-47 | Cartel (Well-Worn),2026-04-06 23:02:54.090874,195.74,2,,
22974,AK-47 | Case Hardened (Battle-Scarred),2026-04-06 20:41:07.463657,1338.06,24,,
25009,AK-47 | Case Hardened (Factory New),2026-04-06 23:01:47.928840,6805.5,79,,
24360,AK-47 | Case Hardened (Field-Tested),2026-04-06 20:56:17.623564,1560.54,214,,
22538,AK-47 | Case Hardened (Minimal Wear),2026-04-06 20:36:47.340927,1934.99,223,,
22933,AK-47 | Case Hardened (Well-Worn),2026-04-06 20:41:07.463657,1385.41,89,,
23081,AK-47 | Elite Build (Battle-Scarred),2026-04-06 20:42:12.375446,11.65,90,,
23830,AK-47 | Elite Build (Factory New),2026-04-06 20:50:52.499073,101.73,283,,
22994,AK-47 | Elite Build (Field-Tested),2026-04-06 20:41:07.463657,16.68,339,,
22610,AK-47 | Elite Build (Minimal Wear),2026-04-06 20:36:47.340927,25.3,500,,
23115,AK-47 | Elite Build (Well-Worn),2026-04-06 20:43:17.467436,13.44,98,,
22381,AK-47 | Emerald Pinstripe (Battle-Scarred),2026-04-06 20:34:37.401554,20.96,73,,
23980,AK-47 | Emerald Pinstripe (Factory New),2026-04-06 20:51:57.523508,213.25,107,,
22325,AK-47 | Emerald Pinstripe (Field-Tested),2026-04-06 20:34:37.401554,21.65,227,,
24260,AK-47 | Emerald Pinstripe (Minimal Wear),2026-04-06 20:55:12.610454,35.02,147,,
22611,AK-47 | Emerald Pinstripe (Well-Worn),2026-04-06 20:36:47.340927,20.34,50,,
25770,AK-47 | Fire Serpent (Battle-Scarred),2026-04-06 23:09:24.152153,4048.69,2,,
24485,AK-47 | Fire Serpent (Field-Tested),2026-04-06 20:57:22.648193,5767.81,73,,
24548,AK-47 | Fire Serpent (Well-Worn),2026-04-06 20:58:27.612407,6247.72,1,,
25514,AK-47 | First Class (Battle-Scarred),2026-04-06 23:06:09.414411,4120.23,1,,
27748,AK-47 | First Class (Factory New),2026-04-06 23:29:59.176690,1911.83,3,,
24698,AK-47 | First Class (Field-Tested),2026-04-06 20:59:32.605741,721.07,3,,
26898,AK-47 | First Class (Minimal Wear),2026-04-06 23:21:19.247592,920.11,2,,
11732589,AK-47 | First Class (Well-Worn),2026-04-06 16:40:41.516340,622.09,3,,
22537,AK-47 | Frontside Misty (Battle-Scarred),2026-04-06 20:36:47.340927,128.34,11,,
24752,AK-47 | Frontside Misty (Factory New),2026-04-06 21:00:37.712848,1528.14,119,,
22512,AK-47 | Frontside Misty (Field-Tested),2026-04-06 20:35:42.337316,143.5,242,,
22487,AK-47 | Frontside Misty (Minimal Wear),2026-04-06 20:35:42.337316,240.89,615,,
