platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
,AK-47 | Aquamarine Revenge (Battle-Scarred),2026-04-06 20:44:22.539544,365.49,39,,
,AK-47 | Aquamarine Revenge (Factory New),2026-04-06 20:59:32.605741,2685.82,39,,
,AK-47 | Aquamarine Revenge (Field-Tested),2026-04-06 20:36:47.340927,426.97,125,,
,AK-47 | Aquamarine Revenge (Minimal Wear),2026-04-06 20:56:17.623564,699.07,74,,
,AK-47 | Aquamarine Revenge (Well-Worn),2026-04-06 20:56:17.623564,366.25,52,,
,AK-47 | Asiimov (Battle-Scarred),2026-04-06 17:38:42.032204,399.26,37,,
,AK-47 | Asiimov (Factory New),2026-04-06 17:39:42.080123,6332.69,8,,
,AK-47 | Asiimov (Minimal Wear),2026-04-06 17:38:42.032204,571.84,172,,
,AK-47 | Asiimov (Well-Worn),2026-04-06 17:39:42.080123,406.43,22,,
,AK-47 | Baroque Purple (Battle-Scarred),2026-04-06 18:06:42.299296,53.48,85,,
,AK-47 | Baroque Purple (Field-Tested),2026-04-06 18:03:42.244553,59.41,114,,
,AK-47 | Baroque Purple (Minimal Wear),2026-04-06 18:03:42.244553,154.52,88,,
,AK-47 | Baroque Purple (Well-Worn),2026-04-06 18:00:42.152399,53.69,82,,
,AK-47 | Black Laminate (Battle-Scarred),2026-04-06 20:35:42.337316,337.71,17,,
,AK-47 | Black Laminate (Field-Tested),2026-04-06 20:35:42.337316,365.76,59,,
,AK-47 | Black Laminate (Minimal Wear),2026-04-06 20:36:47.340927,1080.62,34,,
,AK-47 | Black Laminate (Well-Worn),2026-04-06 23:06:09.414411,361.7,8,,
,AK-47 | Bloodsport (Factory New),2026-04-06 17:04:42.865716,1986.4,75,,
,AK-47 | Bloodsport (Field-Tested),2026-04-06 17:04:42.865716,1436.74,65,,
,AK-47 | Bloodsport (Well-Worn),2026-04-06 17:06:41.657963,1447.36,11,,
,AK-47 | Blue Laminate (Factory New),2026-04-06 20:49:47.578142,611.95,403,,
,AK-47 | Blue Laminate (Field-Tested),2026-04-06 20:36:47.340927,157.34,460,,
,AK-47 | Blue Laminate (Minimal Wear),2026-04-06 20:34:37.401554,167.06,520,,
,AK-47 | Blue Laminate (Well-Worn),2026-04-06 23:03:59.118314,261.55,21,,
,AK-47 | Cartel (Battle-Scarred),2026-04-06 23:02:54.090874,181.95,47,,
,AK-47 | Cartel (Factory New),2026-04-06 20:56:17.623564,944.23,76,,
,AK-47 | Cartel (Field-Tested),2026-04-06 20:44:22.539544,175.26,264,,
,AK-47 | Cartel (Minimal Wear),2026-04-06 20:41:07.463657,228.82,201,,
