platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
49625,AK-47 | Aquamarine Revenge (Battle-Scarred),2026-04-06 20:44:22.539544,285.42,26,264.0,6
43653,AK-47 | Aquamarine Revenge (Factory New),2026-04-06 20:59:32.605741,1874.5,398,1860.0,71
1953,AK-47 | Aquamarine Revenge (Field-Tested),2026-04-06 20:36:47.340927,300.49,436,284.0,25
4658,AK-47 | Aquamarine Revenge (Minimal Wear),2026-04-06 20:56:17.623564,510.0,479,502.0,35
6266,AK-47 | Aquamarine Revenge (Well-Worn),2026-04-06 20:56:17.623564,274.5,52,269.0,11
14605,AK-47 | Asiimov (Battle-Scarred),2026-04-06 17:38:42.032204,305.5,29,288.0,8
43398,AK-47 | Asiimov (Factory New),2026-04-06 17:39:42.080123,4294.5,229,6600.0,34
1627,AK-47 | Asiimov (Minimal Wear),2026-04-06 17:38:42.032204,393.5,2098,783.0,87
51175,AK-47 | Asiimov (Well-Worn),2026-04-06 17:39:42.080123,322.0,10,297.0,9
9564,AK-47 | Baroque Purple (Battle-Scarred),2026-04-06 18:06:42.299296,41.62,30,38.0,8
3286,AK-47 | Baroque Purple (Field-Tested),2026-04-06 18:03:42.244553,44.0,261,43.2,12
2703,AK-47 | Baroque Purple (Minimal Wear),2026-04-06 18:03:42.244553,114.5,558,110.0,18
50237,AK-47 | Baroque Purple (Well-Worn),2026-04-06 18:00:42.152399,41.64,25,38.6,8
51567,AK-47 | Black Laminate (Battle-Scarred),2026-04-06 20:35:42.337316,346.5,17,257.0,3
5375,AK-47 | Black Laminate (Field-Tested),2026-04-06 20:35:42.337316,272.44,125,254.0,9
44387,AK-47 | Black Laminate (Minimal Wear),2026-04-06 20:36:47.340927,787.49,168,747.0,20
49798,AK-47 | Black Laminate (Well-Worn),2026-04-06 23:06:09.414411,650.0,7,210.0,3
43663,AK-47 | Bloodsport (Factory New),2026-04-06 17:04:42.865716,1450.0,1940,1440.0,74
606,AK-47 | Bloodsport (Field-Tested),2026-04-06 17:04:42.865716,996.0,735,991.0,34
35271,AK-47 | Bloodsport (Well-Worn),2026-04-06 17:06:41.657963,1008.5,28,1010.0,9
1219,AK-47 | Blue Laminate (Factory New),2026-04-06 20:49:47.578142,469.0,782,458.0,67
35239,AK-47 | Blue Laminate (Field-Tested),2026-04-06 20:36:47.340927,117.0,488,113.0,17
984,AK-47 | Blue Laminate (Minimal Wear),2026-04-06 20:34:37.401554,127.62,621,120.0,20
54603,AK-47 | Blue Laminate (Well-Worn),2026-04-06 23:03:59.118314,198.0,13,178.0,4
45234,AK-47 | Cartel (Battle-Scarred),2026-04-06 23:02:54.090874,140.5,42,124.0,8
3265,AK-47 | Cartel (Factory New),2026-04-06 20:56:17.623564,730.0,715,720.0,88
178,AK-47 | Cartel (Field-Tested),2026-04-06 20:44:22.539544,130.0,666,127.0,27
1642,AK-47 | Cartel (Minimal Wear),2026-04-06 20:41:07.463657,161.98,946,155.0,37
53725,AK-47 | Cartel (Well-Worn),2026-04-06 23:02:54.090874,171.8,14,157.0,7
47636,AK-47 | Case Hardened (Battle-Scarred),2026-04-06 20:41:07.463657,1249.5,106,5000.0,10
798,AK-47 | Case Hardened (Factory New),2026-04-06 23:01:47.928840,6480.0,412,19200.0,34
494,AK-47 | Case Hardened (Field-Tested),2026-04-06 20:56:17.623564,1490.0,881,8000.0,14
43804,AK-47 | Case Hardened (Minimal Wear),2026-04-06 20:36:47.340927,1878.91,988,9000.0,15
1021,AK-47 | Case Hardened (Well-Worn),2026-04-06 20:41:07.463657,1260.0,289,6710.0,17
1415,AK-47 | Elite Build (Battle-Scarred),2026-04-06 20:42:12.375446,11.19,284,10.3,16
1680,AK-47 | Elite Build (Factory New),2026-04-06 20:50:52.499073,97.85,1066,96.0,63
418,AK-47 | Elite Build (Field-Tested),2026-04-06 20:41:07.463657,16.0,1022,15.9,38
2758,AK-47 | Elite Build (Minimal Wear),2026-04-06 20:36:47.340927,24.08,1427,23.9,36
5359,AK-47 | Elite Build (Well-Worn),2026-04-06 20:43:17.467436,11.4,339,11.6,16
4594,AK-47 | Emerald Pinstripe (Battle-Scarred),2026-04-06 20:34:37.401554,19.87,137,17.8,9
