marketHashName,validPlatformCount,minPriceCny,maxPriceCny,spreadPct
Sticker | PENTA Sports | DreamHack 2014,5,219.5,689220,313895.44
★ Gut Knife | Lore (Well-Worn),5,748,1000000,133589.84
Sealed Graffiti | Oops (Tiger Orange),5,1.11,355.64,31939.64
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear),5,279.13,68922,24591.72
Sticker | Vega Squadron (Holo) | Boston 2018,5,140,34461,24515.0
XM1014 | Tranquility (Well-Worn),5,81.9,12725,15437.24
Sawed-Off | Irradiated Alert (Battle-Scarred),5,19.91,2800,13963.28
Sticker | jkaem (Gold) | Katowice 2019,5,274,36376.35,13176.04
MAC-10 | Urban DDPAT (Factory New),5,348.5,41353.2,11766.05
Souvenir UMP-45 | Scorched (Well-Worn),5,0.08,9.31,11537.5
StatTrak™ P250 | Red Rock (Well-Worn),5,99.8,8888,8805.81
G3SG1 | Ventilator (Well-Worn),5,1.17,103.39,8736.75
Sticker | nexa (Gold) | Berlin 2019,5,79.8,6180.38,7644.84
P2000 | Grassland Leaves (Well-Worn),5,60.03,4568,7509.53
Sticker | ropz (Foil) | London 2018,5,299,22248.16,7340.86
SCAR-20 | Splash Jam (Well-Worn),5,140,10000,7042.86
Sticker | EliGE (Foil) | Cologne 2016,5,388.9,27467.42,6962.85
Souvenir G3SG1 | Jungle Dashed (Well-Worn),5,129.02,8888,6788.85
Sticker | dupreeh | Atlanta 2017,5,31.16,2060.15,6511.52
StatTrak™ M4A4 | Griffin (Battle-Scarred),5,69.8,3914.22,5507.77
PP-Bizon | Rust Coat (Well-Worn),5,111.5,5987.5,5269.96
Sawed-Off | Mosaico (Battle-Scarred),5,47.55,2500,5157.62
Souvenir Sawed-Off | Amber Fade (Well-Worn),5,77.39,3333,4206.76
Souvenir Nova | Predator (Factory New),5,75,3170.41,4127.21
P2000 | Coach Class (Battle-Scarred),5,61.4,2500,3971.66
Sticker | Snax (Foil) | Cluj-Napoca 2015,5,155.7,6324.56,3962.02
UMP-45 | Fallout Warning (Well-Worn),5,87.52,3500,3899.09
MP9 | Green Plaid (Well-Worn),5,92.28,3554.5,3751.86
Sticker | abE | MLG Columbus 2016,5,27,962,3462.96
Sticker | denis | Cluj-Napoca 2015,5,75.33,2673.01,3448.4
