marketHashName,buffPrice,youpinPrice,steamPrice,buffVsYoupinPct,steamVsYoupinPct
★ Butterfly Knife | Bright Water (Battle-Scarred),3879.5,3808,7926.03,1.88,108.14
AK-47 | Fire Serpent (Well-Worn),6000,5936,11889.04,1.08,100.29
★ Gut Knife | Lore (Well-Worn),748,1000000,1033.83,-99.93,-99.9
AWP | Silk Tiger (Factory New),7100,6559.5,12910.53,8.24,96.82
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear),399,6888,279.13,-94.21,-95.95
AWP | Containment Breach (Factory New),6089.5,5629,10989.13,8.18,95.22
Five-SeveN | Neon Kimono (Factory New),4388,4258,8264.78,3.05,94.1
★ Karambit | Case Hardened (Minimal Wear),6288.5,6288,11826.18,0.01,88.08
Desert Eagle | Blaze (Minimal Wear),6665.9,6665.9,12478.39,0.0,87.2
★ Butterfly Knife | Urban Masked (Minimal Wear),3880,3858.5,7166.02,0.56,85.72
M4A1-S | Icarus Fell (Minimal Wear),5340,5440,10095.97,-1.84,85.59
Desert Eagle | Hand Cannon (Factory New),4250,4146,7679.01,2.51,85.21
★ Karambit | Stained (Minimal Wear),4421,4299.5,7926.03,2.83,84.35
★ M9 Bayonet | Crimson Web (Minimal Wear),6299.5,6134.5,10980.03,2.69,78.99
StatTrak™ M4A1-S | Printstream (Factory New),7898,7620,13541.31,3.65,77.71
★ M9 Bayonet | Blue Steel (Minimal Wear),4051,3993,7087.11,1.45,77.49
★ Talon Knife | Marble Fade (Minimal Wear),4230,4287.4,7560.46,-1.34,76.34
StatTrak™ AWP | Containment Breach (Factory New),5200,5500,9648.94,-5.45,75.44
★ Butterfly Knife | Ultraviolet (Minimal Wear),6049.5,5957.46,10329.47,1.54,73.39
★ Karambit | Crimson Web (Battle-Scarred),3970,3999.5,6918.8,-0.74,72.99
Desert Eagle | Sunset Storm 壱 (Minimal Wear),4599,4190,7236.81,9.76,72.72
★ StatTrak™ M9 Bayonet | Marble Fade (Factory New),6150,6210,10725.02,-0.97,72.71
★ Butterfly Knife | Crimson Web (Well-Worn),4979.5,4848,8360.44,2.71,72.45
★ StatTrak™ Butterfly Knife | Damascus Steel (Field-Tested),5650,5440,9280.62,3.86,70.6
★ StatTrak™ Butterfly Knife | Rust Coat (Battle-Scarred),4078.5,4015.55,6817.21,1.57,69.77
AK-47 | X-Ray (Field-Tested),6849.5,6578.97,11102.09,4.11,68.75
MAG-7 | Cinquedea (Factory New),5440.5,5428.99,9096.39,0.21,67.55
★ Karambit | Ultraviolet (Minimal Wear),4887.5,4740,7926.03,3.11,67.22
M4A1-S | Welcome to the Jungle (Well-Worn),5549.5,5176.5,8645.09,7.21,67.01
★ StatTrak™ Karambit | Damascus Steel (Field-Tested),4465.5,4417.5,7360.18,1.09,66.61
